1500	1000	1e-08	1e-05	0.01	-0.001	27	0.0512407	2.767	0.000115999
1600	1000	1e-08	1e-05	0.01	-0.001	39	0.0311795	2.432	0.000122079
1700	1000	1e-08	1e-05	0.01	-0.001	23	0.0599348	2.757	0.000136019
1800	1000	1e-08	1e-05	0.01	-0.001	31	0.0454677	2.819	0.000150438
1900	1000	1e-08	1e-05	0.01	-0.001	29	0.0515517	2.99	0.000143479
2000	1000	1e-08	1e-05	0.01	-0.001	33	0.046303	3.056	0.000135749
2100	1000	1e-08	1e-05	0.01	-0.001	30	0.0483667	2.902	0.000147079
2200	1000	1e-08	1e-05	0.01	-0.001	39	0.043641	3.404	0.000178168
2300	1000	1e-08	1e-05	0.01	-0.001	31	0.0596613	3.699	0.000188508
2400	1000	1e-08	1e-05	0.01	-0.001	27	0.0574259	3.101	0.000186578
2500	1000	1e-08	1e-05	0.01	-0.001	35	0.0522143	3.655	0.000181388
2600	1000	1e-08	1e-05	0.01	-0.001	32	0.0683594	4.375	0.000185748
